"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the ape participants - usually numerical "
"condition","whether the food was covered or visible/ 0 - not food placed / 1 and 4- quantity food placed"
"left","cover dish characteristic on the left side "
"right","cover dish characteristic on the right side "
"choice","what participant chose"
"corr","whether the choice was correct or incorrect "
