"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant_a "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – focal_participant_b  "
"dyad","name of the two participants that compose the dyad "
"species","species of individuals participating in the study - chimpanzee "
"session","set of trials - mostly occurring on the same day - usually numerical "
"condition","whether the participant continued to pull to the end position- baseline = both participants received the reward at the middle position/ mutualism condition= pair could pull the platform from the front position (mutualism 1) or the middle position (mutualism 2) and receive the reward at the end position/ helping without collaboration = sliding platform started at the middle position and one partner got her reward for free / helping during collaboration = the pair could pull the sliding platform from the front position to the middle position where only one partner was rewarded and then continue pulling to the end position where other partner was rewarded"
"block","group where participants belong "
"focal_participant_a_side","location side of the participant "
"focal_participant_b_side","location side of the participant "
"helper","name of the helper participant. The helper is the participant triggering the pull_to_end_position. "
"pull_to_middle_position","whether the participant pulled to the middle"
"pull_to_end_position","whether the participant pulled to the end"
