study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,condition,proximity_in_seconds,composite_index_in_seconds,begging_in_seconds,time_in_seconds
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,baseline_1,52,0.0,0,52.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,baseline_2,58,0.0,0,58.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,baseline_3,30,1.0,0,49.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,equal,133,0.0,0,154.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,unequal,91,0.0,0,91.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,unequal-part_1,39,1.0,0,39.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,kuno,8,m,partner,bonobo,joey_kuno,unequal-part_2,25,0.0,0,35.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,limbuko,9,m,partner,bonobo,joey_limbuko,baseline_1,50,0.0,0,50.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,limbuko,9,m,partner,bonobo,joey_limbuko,baseline_2,53,1.0,0,53.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,limbuko,10,m,partner,bonobo,joey_limbuko,baseline_3,38,1.0,0,38.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,limbuko,9,m,partner,bonobo,joey_limbuko,equal,72,1.0,0,93.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,limbuko,9,m,partner,bonobo,joey_limbuko,unequal,99,0.0,0,99.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,limbuko,10,m,partner,bonobo,joey_limbuko,unequal-part_1,30,0.0,0,43.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,limbuko,10,m,partner,bonobo,joey_limbuko,unequal-part_2,27,0.0,0,43.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,ulindi,11,f,partner,bonobo,joey_ulindi,baseline_1,44,0.0,0,44.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,ulindi,11,f,partner,bonobo,joey_ulindi,baseline_2,102,0.0,0,102.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,ulindi,12,f,partner,bonobo,joey_ulindi,baseline_3,,,,0.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,ulindi,11,f,partner,bonobo,joey_ulindi,equal,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,ulindi,11,f,partner,bonobo,joey_ulindi,unequal,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,ulindi,12,f,partner,bonobo,joey_ulindi,unequal-part_1,,,,0.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,ulindi,12,f,partner,bonobo,joey_ulindi,unequal-part_2,,,,0.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,yasa,7,f,partner,bonobo,joey_yasa,baseline_1,74,0.0,0,86.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,yasa,7,f,partner,bonobo,joey_yasa,baseline_2,51,0.0,0,51.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,yasa,8,f,partner,bonobo,joey_yasa,baseline_3,38,0.0,0,38.0
amici2012aversion,2,food_distribution,2005,1,20,joey,22,m,focal_participant,yasa,7,f,partner,bonobo,joey_yasa,equal,118,0.0,0,118.0
amici2012aversion,2,food_distribution,2005,1,24,joey,22,m,focal_participant,yasa,7,f,partner,bonobo,joey_yasa,unequal,124,3.0,4,139.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,yasa,8,f,partner,bonobo,joey_yasa,unequal-part_1,37,1.0,0,37.0
amici2012aversion,2,food_distribution,2005,11,9,joey,22,m,focal_participant,yasa,8,f,partner,bonobo,joey_yasa,unequal-part_2,40,0.0,0,40.0
amici2012aversion,2,food_distribution,2005,1,20,kuno,8,m,focal_participant,joey,22,m,partner,bonobo,kuno_joey,baseline_1,52,0.0,0,52.0
