"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of participant"
"sex","sex of the participant"
"role","individual initiating a food transfer (initiator of food transfer)"
"participant_2","name of the participant_2 "
"sex_2","sex of the participant_2 "
"role_2","individual who is the recipient of the initiator’s actions (recipient of an interaction)"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"dyad","name of the two participants that compose the dyad "
"session","number of session (one each day)- 8 in total"
"action","Taking/ Offer/ Request/ Dropping/ but dropping is not included in analyses"
"rankrelationship_standardized","could be between -1 and 1/ if positive- then the initiator is higher ranking than the recipient/ if negative- then the initiator is lower ranking then the recipient. The greater the difference (eg 0.65 rather than 0.25) the greater the difference between two individuals"
"relationship_s","unrelated or related (this could be mother and offspring/ but also father and offspring if known- or sisters- or grandma and grandchild) "
"success","whether food was transferred (yes) or not (no) or unknown "
"transfer_what","types of food items exchanged "
"transfer_how_much","amount (whole/ parts) of food items exchanged"
