"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study - chimpanzee/orangutan"
"group_original","belonging group- experimental / control"
"experience","conditions participant experienced before"
"find_tools","whether participants took the tools or not"
"solve_task","whether tool was used in an appropriate manner according to task"
"latency_approach_first_box","latency to take first tool"
"strategies","strategies depending on the tools first taken and the tools first used"
"correct_location","whether participant went to the correct location"
