"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"present","another individual present but not participating – can be an infant or in rare cases an adult "
"species","species of individuals participating in the study - chimpanzee/orangutan"
"experience","whether the participant had previous experience - participated (with previous experience)/ naive  (with no previous experience)"
"find_tools","whether participants took the tools or not"
"solve_task","whether tool was used in an appropriate manner according to task"
"latency_approach_first_box","latency to take first tool"
"left_room","time participant spent in the left room"
"food_room","time participant spent in the food room"
"middle_right","time participant spent in the middle right room"
"right_room","time participant spent in the right room"
"strategies","strategies depending on the tools first taken and the tools first used "
"drop_out","participant drop out /not included in analyses "
