"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study – orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"option_on_the_right_experimenter_view ","variable referring to the option available on the right side from the experimenter perspective -either a tool (ball or stick) or a reward (banana pellet)"
"option_on_the_left_experimenter_view ","variable referring to the option available on the left side from the experimenter perspective -either a tool (ball or stick) or a reward (banana pellet)"
"apparatus_presented","variable referring to the type of apparatus presented on a given trial - ball (apparatus where the participant had to use the ball) / stick ( apparatus where the participant had to use the stick) "
"choice","the choice participant made - tool (ball or stick) / reward (banana pellet/grape/ apple)"
"food_inside_apparatus","the type of food inside the apparatus (banana pellet)"
