"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/orangutan "
"condition","familiarization- participants were presented with a functional and a non-functional tool where they have to choose the correct (functional) one/ functional_for_non functional- participants were asked to exchange a functional for a non functional tool/ initial_choice/ choice_trials/ trading-control/ identical_trials_tool/ endowment_trial_ tool_a or b (described in glossary experiment 1)"
"tool","type of tool"
"location","location of the type of tool described in the tool column"
"choice","tool the participant chooses"
"trade","whether the participant engage in trading during the course of the trial"
"tested_fully","whether the participant complete all the trial steps"
"comments","author provided notes"
