"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","name of data subset – experiment 3"
"year","year the data point was obtained"
"month","month the data point was obtained"
"day","day the data point was obtained"
"participant","name of the participant"
"age_original","age provided by author"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -chimpanzee / orangutans"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical"
"condition","condition (type of tube) presented to the participant in a given session – transparent / opaque / front (hole) / back (hole)"
"tested_before","whether the participant was tested before in the same task -  yes / no / with_mom (not tested but present during a test)"
"test_phase","test phase presented to the participant  - re-test (transparent) / transfer (opaque) / visual_cause  (front / back): three orangutans having solved the task already in Mendes et al. 2007 received the opaque tube first (transfer1) then the transparent one and then the opaque tube again (transfer2)"
"solution","whether the participant solved the task – 1 = success / 0 = no success/ no entry = not available "
"latency_solution","time in seconds it took the participant to solve the task"
"number_spits","number of spits to solve the task"
"latency_firstspit","time in seconds it took the participant to first spit into the tube"
"mean_inter_spit_interval","mean duration between spits in seconds"
"comment","author notes"
