"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"nice_percentage","Percentage of seconds at the ""nice"" window"
"nasty_percentage","Percentage of seconds at the ""nasty"" window"
"first_shown","This shows which incident (""nice"" or ""nasty"") was shown first in that particular trial "
