study_id,experiment,model_name,participant,age_in_years,sex,species,species_subgroup,phase,phase_temp,session_overall,trial_number,condition,session_within_condition,order,order2,number_boxes,p1p2_trial_correct,redundant_searches,p1_trial_correct,p1_redundant_searches,p1_1st,p1_2nd,p1_2nd_correct,p1_3rd,p1_3rd_correct,p1_4th,p1_4th_correct,p2_trial_correct,p2_redundant_searches,p2_1st,p2_2nd,p2_2nd_correct,p2_3rd,p2_3rd_correct,p2_4th,p2_4th_correct,feature_space_strategy,same_boxes_strategy
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,1,1,fd,1.0,fd_ib_db,1.0,4,,,0.0,1.0,2.0,5.0,1.0,3.0,1.0,2.0,0.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,1,2,fd,1.0,fd_ib_db,1.0,4,,,0.0,1.0,2.0,3.0,1.0,5.0,1.0,3.0,0.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,1,3,fd,1.0,fd_ib_db,1.0,4,,,1.0,0.0,5.0,4.0,1.0,3.0,1.0,2.0,1.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,2,4,fd,2.0,fd_ib_db,1.0,4,,,1.0,0.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,2,5,fd,2.0,fd_ib_db,1.0,4,,,1.0,0.0,5.0,2.0,1.0,4.0,1.0,3.0,1.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,2,6,fd,2.0,fd_ib_db,1.0,4,,,0.0,1.0,5.0,3.0,1.0,4.0,1.0,3.0,0.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,3,1,ib,1.0,fd_ib_db,2.0,4,1.0,0.0,1.0,0.0,2.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,3,2,ib,1.0,fd_ib_db,2.0,4,0.0,2.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,3,3,ib,1.0,fd_ib_db,2.0,4,0.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,4,4,ib,2.0,fd_ib_db,2.0,4,0.0,2.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,4,5,ib,2.0,fd_ib_db,2.0,4,0.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,0.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,4,6,ib,2.0,fd_ib_db,2.0,4,0.0,2.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,5,1,db,1.0,fd_ib_db,3.0,4,0.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,5,2,db,1.0,fd_ib_db,3.0,4,1.0,0.0,1.0,0.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,5,3,db,1.0,fd_ib_db,3.0,4,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,6,4,db,2.0,fd_ib_db,3.0,4,1.0,0.0,1.0,0.0,2.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,6,5,db,2.0,fd_ib_db,3.0,4,0.0,2.0,0.0,1.0,2.0,4.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,dorien,35,f,chimpanzee,a,feature_space,feature_space,6,6,db,2.0,fd_ib_db,3.0,4,0.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,1,1,ib,1.0,ib_db_fd,1.0,4,0.0,2.0,0.0,1.0,2.0,4.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,1,2,ib,1.0,ib_db_fd,1.0,4,0.0,3.0,0.0,1.0,2.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,1,3,ib,1.0,ib_db_fd,1.0,4,0.0,1.0,1.0,0.0,2.0,5.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,3.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,2,4,ib,2.0,ib_db_fd,1.0,4,0.0,2.0,1.0,0.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,4.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,2,5,ib,2.0,ib_db_fd,1.0,4,1.0,0.0,1.0,0.0,2.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,0.0,2.0,5.0,1.0,3.0,1.0,4.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,2,6,ib,2.0,ib_db_fd,1.0,4,0.0,1.0,0.0,1.0,2.0,5.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,3.0,5.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,3,1,db,1.0,ib_db_fd,2.0,4,0.0,1.0,1.0,0.0,2.0,3.0,1.0,5.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,3,2,db,1.0,ib_db_fd,2.0,4,0.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,0.0,1.0,5.0,2.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,3,3,db,1.0,ib_db_fd,2.0,4,0.0,1.0,1.0,0.0,2.0,3.0,1.0,5.0,1.0,4.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,4,4,db,2.0,ib_db_fd,2.0,4,0.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,4,5,db,2.0,ib_db_fd,2.0,4,0.0,2.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,4,6,db,2.0,ib_db_fd,2.0,4,1.0,0.0,1.0,0.0,2.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,5,1,fd,1.0,ib_db_fd,3.0,4,,,1.0,0.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,5,2,fd,1.0,ib_db_fd,3.0,4,,,1.0,0.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,5,3,fd,1.0,ib_db_fd,3.0,4,,,1.0,0.0,2.0,3.0,1.0,5.0,1.0,4.0,1.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,6,4,fd,2.0,ib_db_fd,3.0,4,,,1.0,0.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,6,5,fd,2.0,ib_db_fd,3.0,4,,,0.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,0.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,fraukje,40,f,chimpanzee,a,feature_space,feature_space,6,6,fd,2.0,ib_db_fd,3.0,4,,,0.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,0.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,1,1,ib,1.0,ib_db_fd,1.0,4,0.0,3.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,1,2,ib,1.0,ib_db_fd,1.0,4,0.0,2.0,0.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,1,3,ib,1.0,ib_db_fd,1.0,4,0.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,3.0,5.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,2,4,ib,2.0,ib_db_fd,1.0,4,0.0,2.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,2,5,ib,2.0,ib_db_fd,1.0,4,1.0,0.0,1.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,2,6,ib,2.0,ib_db_fd,1.0,4,0.0,1.0,0.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,4.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,3,1,db,1.0,ib_db_fd,2.0,4,0.0,1.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,3,2,db,1.0,ib_db_fd,2.0,4,0.0,1.0,0.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,3.0,5.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,3,3,db,1.0,ib_db_fd,2.0,4,0.0,2.0,0.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,4,4,db,2.0,ib_db_fd,2.0,4,0.0,2.0,0.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,4,5,db,2.0,ib_db_fd,2.0,4,0.0,1.0,0.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,3.0,5.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,4,6,db,2.0,ib_db_fd,2.0,4,0.0,2.0,0.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,3.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,5,1,fd,1.0,ib_db_fd,3.0,4,,,0.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,,,,,1.0,,0.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,5,2,fd,1.0,ib_db_fd,3.0,4,,,1.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,5,3,fd,1.0,ib_db_fd,3.0,4,,,0.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,6,4,fd,2.0,ib_db_fd,3.0,4,,,0.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,,,,,0.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,6,5,fd,2.0,ib_db_fd,3.0,4,,,0.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,frodo,22,m,chimpanzee,a,feature_space,feature_space,6,6,fd,2.0,ib_db_fd,3.0,4,,,0.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,0.0,,,,,1.0,,0.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,kofi,11,m,chimpanzee,a,feature_space,feature_space,1,1,fd,1.0,fd_ib_db,1.0,4,,,1.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,,,,,1.0,,0.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,kofi,11,m,chimpanzee,a,feature_space,feature_space,1,2,fd,1.0,fd_ib_db,1.0,4,,,1.0,0.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,,,,,1.0,,1.0,,0.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,kofi,11,m,chimpanzee,a,feature_space,feature_space,1,3,fd,1.0,fd_ib_db,1.0,4,,,1.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,,,,,1.0,,0.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,kofi,11,m,chimpanzee,a,feature_space,feature_space,2,4,fd,2.0,fd_ib_db,1.0,4,,,1.0,0.0,2.0,4.0,1.0,3.0,1.0,5.0,1.0,,,,,1.0,,1.0,,1.0,0.0,0.0
volter2019chimpanzees,2,trial_data_glmm03_and_s02,kofi,11,m,chimpanzee,a,feature_space,feature_space,2,5,fd,2.0,fd_ib_db,1.0,4,,,1.0,0.0,2.0,4.0,1.0,3.0,1.0,5.0,1.0,,,,,1.0,,1.0,,0.0,0.0,0.0
