column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
experiment_name,name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc 
participant,name of the participant 
age_in_years,age presented in years – see metadata for source of age
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan 
trial,presentation of the experiment to the participants - usually numerical 
condition,the location experimenter looked at - window/ window-control/ under/ under-control/ under-left/ under-left-control/ door/ door-control
success,whether the participant visited the target location – success (the value during the experimental condition is greater than that in the control condition)/ no-success (the value in the control condition is greater) / empty values (the value in both conditions is the same)
duration_target_spot_in_seconds,the time in seconds the participant spent at the target location
