"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"age_group","age group of the participant – adult(>11) / juvenil(6-10) / infant(1-5)"
"gaze_ex","number of times the participant looked to the ceiling following the gaze of the experimenter "
"gaze_co","number of times the participant looked to the ceiling when the experimenter did not gaze to the ceiling "
"gaze_dif","the difference in number of times the participant looked to the ceiling in gaze_ex and gaze_co (gaze_ex minus gaze_co)"
"double_check_ex","number of times the participant looked to the ceiling again in experimental condition (when experimenter gazed to the ceiling)"
"double_check_co","number of times the participant looked to the ceiling again in control condition (when experimenter did not gaze to the ceiling)"
