study_id,experiment,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,dyad,species,session,trial,condition,prosocial_option,focal_participant_choice,prosocial_choice
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,1,na ,c,c,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,2,na ,b,c,0
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,3,na ,c,c,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,4,na ,c,c,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,5,na ,b,b,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,6,na ,b,c,0
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,7,na ,c,c,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,8,na ,b,b,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,9,na ,c,c,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,10,na ,b,b,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,11,na ,c,c,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,1,12,na ,b,c,0
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,2,13,na ,b,b,1
schmelz2017chimpanzees,3,frodo,20,m,focal_participant,tai,12,f,partner,frodo_tai,chimpanzee,2,14,na ,c,b,0
