"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant"
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – partner"
"dyad","name of the two participants that compose the dyad "
"species","species of individuals participating in the study - chimpanzee"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","na = no-assistance condition. The partner did not do anything. The experimenter opened up the options for the focal_participant. ra = risky-assistance condition. The partner opened up the options for the focal_participant"
"prosocial_option","location of the prosocial (2/2) option for the focal_participant. This could either have been location B = the two cups in the middle of the table (left from focal_participant POV) or C = the two cups at the back of the table (right from focal_participant POV). See figure 1 in paper."
"focal_participant_choice","option the focal_participant chose"
"prosocial_choice","0 = focal_participant did not choose prosocially (prosocial_option and focal_participant_choice are not the same)/ 1 = focal_participant chose prosocially (prosocial_option and focal_participant_choice are identical)."
