"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"participant","name of the participant"
"sex","sex of the participant"
"species","species of individuals participating in the study - orangutan"
"phase"," phases in which participants were paired- test- pared with same species /control-pared with experimenter"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","ostensive direct begging- communication–in the form of eye contact and name-calling/ ostensive human pointing -resemble human pointing behaviour/ reduced ostension directed begging- resemble gestures produced by Bimbo"
"ostension","produced following a gesture that the experimenter could see"
"low_point","produced either during or within 10 seconds of the end of a point"
"was_response_accurate","whether participants response was accurate during or within 10 seconds "
"comments","author provided notes- whether the answer had no application (n/a–because no timely response was made)"
