"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","higher value food for demonstrator than participant – banana/carrot "
"order","whether first is control or test condition "
"trained_token","One type of token participants were trained to exchange with the experimenter for one piece of carrot - green/blue/grey  "
"stooge_token","Token type stooge was trained on - green/blue/grey  "
"demonstrations_observed","number of trials in which the demonstration was observed"
"green_choice","green token chosen  by a participant"
"blue_choice","blue token chosen  by a participant"
"grey_choice","grey token chosen  by a participant"
"trained","token type that was used_trained"
"observed","token type that was used_observed"
"random","token type that was used_random"
"choice","token type chosen by a subject_trained/observed/random"
