"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_original","age provided by author"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","study condition presented test or training"
"order","order of experiment presented (experiment 1 first e1-e2/ or experiment 2 first e2-e1). Some apes only participated in experiment 2 (e2) and whether apes participated in the experimental or control group"
"choices","search under correct baited container or under incorrect nonbaited container/ search in a previously baited container (feature)/ previously baited location (place)/ search under the container in the middle (middle)"
"search","search number within a session"
"sum_correct","sum of correct choices during training sessions"
"feature","percentage of feature searches (asterisks denotes significance in a two-way binomial test)"
"place","percentage of place searches (asterisks denotes significance in a two-way binomial test)"
"comments","author provided notes"
