"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"day","day of the month the data point was obtained "
"month","month the data point was obtained "
"year","year the data point was obtained  "
"participant","name of the participant "
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition (test 2/test 3) "
"order_of_conditions","the order of conditions in which the participant was tested (Experiment 1 first- then Experiment 2= original/ Experiment 2 first- then Experiment 1 = reverse)"
"preference_single_item","preference for the pellet piece over the carrot piece in percent in the preference test trials with single items"
"preference_pop_open","preference for the pellet population over the carrot population in percent in the follow-up preference test with open populations"
"preference_pop_covered","preference for the pellet population over the carrot population in percent in the follow-up preference test with covered populations"
"initial_position_pellet_pop","side on which the pellet population was shown at the beginning of a test trial (left=l/right=r)"
"position_pellet_sample","side on which the pellet sample was hidden at the end of the test trial (left=l/ right=r)"
"choice","sample chosen by the ape (pellet/carrot)"
