column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
year,year the data point was obtained  
month,month the data point was obtained 
day,day of the month the data point was obtained 
participant,name of the participant 
age_in_years,age presented in years – see metadata for source of age
sex,sex of the participant 
role,role of the participant – focal_participant
participant_2,name of participant_2
age_in_years_2,age presented in years of the participant_2 – see metadata for source of age
sex_2,sex of the participant_2 
role_2,role of participant_2 – partner
species,species of individuals participating in the study – chimpanzee
dyad,name of the two ape participants that compose the dyad 
session,set of trials - mostly occurring on the same day – 1/ 2/ 3/ 4
trial,presentation of the experiment to the ape participants - numerical 
condition,condition the participant participated in a given trial - test / control 
3_6_side,left / right
options,payoff distribution options presented to the participant -  2/1vs3/6 (test condition)  / 2/5vs3/6 (control condition)
choice,choice participant made – 2 / 3
