study_id,year,cognitive_domain,domain_no,general_domain,specific_domain
albiach2010great,2010,physical,1,space_and_objects,tracking_object_displacements
albiach2012apes,2012,physical,1,tools_and_causality,tool_features_and_functions
albiach2014reversed,2014,physical,1,tools_and_causality,tool_features_and_functions
albiach2015comparing,2015,physical,1,tools_and_causality,tool_features_and_functions
allritz2013food,2013,social,1,social_learning_and_culture,social_learning_in_foraging
allritz2013food,2013,physical,2,tools_and_causality,food_processing
allritz2021chimpanzees,2021,social,1,theory_of_mind_and_metacognition,understanding_the_self_and_metacognition
amici2008fission,2008,physical,1,quantities_and_time,timing_discounting_and_delayed_gratification
amici2008fission,2008,physical,2,space_and_objects,tracking_object_displacements
amici2010monkeys,2010,physical,1,space_and_objects,tracking_object_displacements
amici2010monkeys,2010,physical,2,tools_and_causality,tool_features_and_functions
amici2012aversion,2012,social,1,competition_and_cooperation,prosocial_behavior
amici2012modular,2012,physical,1,quantities_and_time,timing_discounting_and_delayed_gratification
amici2012modular,2012,physical,2,space_and_objects,tracking_object_displacements
amici2012modular,2012,physical,3,tools_and_causality,tool_features_and_functions
amici2014calculated,2014,social,1,competition_and_cooperation,the_social_economy
amici2014lack,2014,social,1,competition_and_cooperation,prosocial_behavior
amici2014response,2014,social,1,competition_and_cooperation,prosocial_behavior
amici2018social,2018,social,1,competition_and_cooperation,the_social_economy
bandini2021individually,2021,physical,1,tools_and_causality,ontogeny_innovation_and_planning
bandini2021individually,2021,social,2,social_learning_and_culture,social_learning_in_foraging
barth2006tracking,2006,physical,1,space_and_objects,tracking_object_displacements
bohn2015communication,2015,social,1,social_strategies_and_communication,communication_with_humans
bohn2016comprehension,2016,social,1,social_strategies_and_communication,communication_with_humans
bohn2016role,2016,social,1,social_strategies_and_communication,communication_with_humans
bohn2017information,2017,social,1,theory_of_mind_and_metacognition,understanding_the_self_and_metacognition
bohn2019natural,2019,social,1,social_strategies_and_communication,communication_with_humans
bohn2020learning,2020,social,1,social_strategies_and_communication,communication_with_humans
bourjade2014bonobos,2014,physical,1,tools_and_causality,ontogeny_innovation_and_planning
brauer2005all,2005,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
brauer2006apes,2006,social,1,competition_and_cooperation,prosocial_behavior
brauer2006making,2006,social,1,social_strategies_and_communication,communication_with_humans
brauer2006making,2006,physical,2,tools_and_causality,causal_inferences
brauer2006making,2006,social,3,theory_of_mind_and_metacognition,understanding_goals_and_intentions
brauer2007chimpanzees,2007,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
brauer2008chimpanzees,2008,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
brauer2009apes,2009,social,1,competition_and_cooperation,prosocial_behavior
brauer2015apes,2015,physical,1,tools_and_causality,ontogeny_innovation_and_planning
broihanne2019monkeys,2019,physical,1,quantities_and_time,risk_value_and_choice
bueno2019bargaining,2019,social,1,competition_and_cooperation,collaboration
bueno2019bargaining,2019,social,2,competition_and_cooperation,prosocial_behavior
bueno2020effects,2020,social,1,competition_and_cooperation,the_social_economy
buttelmann2008behavioral,2008,social,1,theory_of_mind_and_metacognition,understanding_goals_and_intentions
buttelmann2017great,2017,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
cacchione2009gravity,2009,physical,1,tools_and_causality,causal_inferences
cacchione2009gravity,2009,physical,2,space_and_objects,tracking_object_displacements
cacchione2014apes,2014,physical,1,quantities_and_time,conservation_of_quantities
cacchione2014apes,2014,physical,2,quantities_and_time,counting_summation_and_proportions
call2004inferences,2004,physical,1,space_and_objects,search_in_manipulative_space
call2004inferences,2004,physical,2,tools_and_causality,causal_inferences
dufour2009calculated,2009,social,1,competition_and_cooperation,the_social_economy
duguid2014coordination,2014,social,1,competition_and_cooperation,collaboration
duguid2020strategies,2020,social,1,competition_and_cooperation,collaboration
ebel2019innovative,2019,physical,1,tools_and_causality,ontogeny_innovation_and_planning
ebel2020object,2020,physical,1,features_and_categories,natural_categories
ebel2021prior,2021,physical,1,tools_and_causality,ontogeny_innovation_and_planning
eckert2017great,2017,physical,1,quantities_and_time,counting_summation_and_proportions
engelmann2012five,2012,social,1,competition_and_cooperation,the_social_economy
engelmann2017social,2017,social,1,competition_and_cooperation,prosocial_behavior
forss2016cognitive,2016,physical,1,tools_and_causality,tool_features_and_functions
forss2016cognitive,2016,social,2,social_learning_and_culture,
greenberg2010chimpanzee,2010,social,1,competition_and_cooperation,collaboration
grueneisen2017children,2017,social,1,competition_and_cooperation,collaboration
grueneisen2017children,2017,social,2,theory_of_mind_and_metacognition,understanding_goals_and_intentions
halina2018goal,2018,social,1,social_strategies_and_communication,communication_with_humans
hanus2011chimpanzee,2011,physical,1,tools_and_causality,causal_inferences
hanus2011comparing,2011,physical,1,tools_and_causality,ontogeny_innovation_and_planning
haun2006evolutionary,2006,physical,1,space_and_objects,space_landmarks_and_relations
haun2009great,2009,physical,1,features_and_categories,relational_categories
haun2009great,2009,physical,2,space_and_objects,
haun2011great,2011,physical,1,quantities_and_time,risk_value_and_choice
heilbronner2008fruit,2008,physical,1,quantities_and_time,risk_value_and_choice
hepach2020help,2020,social,1,competition_and_cooperation,prosocial_behavior
hepach2021chimpanzees,2021,social,1,competition_and_cooperation,prosocial_behavior
herrmann2006apes,2006,social,1,social_strategies_and_communication,communication_with_humans
herrmann2006apes,2006,social,2,competition_and_cooperation,
herrmann2019human,2019,social,1,competition_and_cooperation,the_social_economy
hribar2011great,2011,physical,1,space_and_objects,space_landmarks_and_relations
kanngiesser2010bonobos,2010,physical,1,space_and_objects,space_landmarks_and_relations
kanngiesser2011limits,2011,physical,1,quantities_and_time,risk_value_and_choice
kanngiesser2020children,2020,physical,1,quantities_and_time,risk_value_and_choice
kano2011visual,2011,physical,1,features_and_categories,face_perception
kano2012face,2012,physical,1,features_and_categories,face_perception
kano2014cross,2014,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
kano2014great,2014,social,1,theory_of_mind_and_metacognition,understanding_goals_and_intentions
kano2015social,2015,physical,1,features_and_categories,face_perception
kano2015social,2015,social,2,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
kano2016nasal,2016,,1,stimuli_and_arousal,
kano2018human,2018,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
kano2018human,2018,social,2,social_strategies_and_communication,
kano2018primate,2018,physical,1,features_and_categories,face_perception
kano2019great,2019,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
karg2016differing,2016,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
kirchhofer2012dogs,2012,social,1,social_strategies_and_communication,communication_with_humans
knofe2019chimpanzees,2019,social,1,competition_and_cooperation,collaboration
kopp2021small,2021,social,1,theory_of_mind_and_metacognition,understanding_the_self_and_metacognition
krupenye2016great,2016,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
krupenye2017test,2017,social,1,theory_of_mind_and_metacognition,understanding_perception_knowledge_and_beliefs
laumer2018spontaneous,2018,physical,1,tools_and_causality,ontogeny_innovation_and_planning
laumer2019orangutans,2019,physical,1,tools_and_causality,ontogeny_innovation_and_planning
leeuwen2013total,2013,social,1,social_learning_and_culture,social_learning_in_foraging
leeuwen2014human,2014,social,1,social_learning_and_culture,social_learning_in_foraging
leeuwen2017conservatism,2017,social,1,social_learning_and_culture,social_learning_in_foraging
lewis2017non,2017,physical,1,space_and_objects,travel_and_spatial_memory
liebal2014does,2014,social,1,competition_and_cooperation,prosocial_behavior
liebal2017give,2017,social,1,competition_and_cooperation,prosocial_behavior
liszkowski2009prelinguistic,2009,social,1,social_strategies_and_communication,communication_with_humans
manrique2010great,2010,physical,1,tools_and_causality,tool_features_and_functions
manrique2011spontaneous,2011,physical,1,tools_and_causality,ontogeny_innovation_and_planning
manrique2013repeated,2013,physical,1,tools_and_causality,ontogeny_innovation_and_planning
