Domain,Subdomain,Definition
Physical Cognition,,cognitive abilities employed to understand the physical world
Physical Cognition,Space and objects,"cognition involved in perceiving, representing, and reasoning about the physical properties of objects and their spatial relationships."
Physical Cognition,Tools and causality,cognition involved in understanding how certain objects can be used to achieve specific goals (tool use) and how events relate to one another through cause-and-effect relationships (causality).
Physical Cognition,Quantities and time,"cognition involved in perceiving, representing, and reasoning about numerical information (quantities) and temporal information (time)."
Physical Cognition,Features and categories,"cognition involved in recognizing, comparing, and organizing objects or experiences based on shared characteristics (features), and grouping them into meaningful categories."
Social cognition,,cognitive abilities employed to understand the social world
Social cognition,Competition and cooperation,"cognition involved in interpreting, predicting, and responding to competitive and cooperative situations where the goals, intentions, or actions of others influence one’s own behaviour."
Social cognition,Social strategies and communication,"mental processes involved in interpreting, generating, and responding to communicative signals and in navigating complex social decisions."
Social cognition,Theory of Mind and metacognition,"mental processes involved in the ability to attribute mental states to oneself and others (ToM), and mental processes involved in the ability to supervise and control our own mental states (metacognition)."
Social cognition,Social learning and culture,"mental processes involved in acquiring knowledge by observing others (social learning), and in transmitting this knowledge through generations (culture)."

