"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/orangutan "
"no_interference-day","mean percentage of correct responses in no interference condition"
"early_interference-test_day","mean percentage of correct responses in early interference-test condition - day trials "
"early_interference-interference_day","mean percentage of correct responses in early interference-task condition- day trials "
"late_interference-test_day","mean percentage of correct responses in late interference-test condition - day trials "
"late_interference-interference_day","mean percentage of correct responses in late interference-task condition - day trials"
"no_interference-night","mean percentage of correct responses in no interference condition - night trials"
"early_interference-test_night","mean percentage of correct responses in interference-test condition- night trials "
"early_interference-interference_night","mean percentage of correct responses in interference-task condition- night trials "
"late_interference-test_night","mean percentage of correct responses in late interference-test condition- night trials "
"late_interference-interference_night","mean percentage of correct responses in late interference-task condition - night trials"
