"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"publication","whether and when the data point was published – 2007/ 2008"
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant  "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – against"
"species","species of individuals participating in the study - chimpanzee "
"dyad","name of the two participants that compose the dyad "
"trial","presentation of the experiment to the participants - usually numerical "
"pair","continuous count of each participating pair – numerical"
"cond_sid","h_noise_left / h_h_noise_left/ h_h_noise_right / h_noise_right / v_noise_right / v_noise_left/ h_v_right / h_v_left/ h_left / v_left / h_right / v_right  "
"app_side","which side was approached - left/ right/ not "
"app_what","What food was approached hidden_noise / hidden / visible_noise / visible / not "
"app_time","time it took participants approach the food - seconds"
"condition","h_h_noise / h_noise / v_noise/ / h_v / v / h/ "
"whath","what was approached in the hidden condition "
"whatv","what was approached in the visible condition "
"whathn","what was approached in the hidden noise condition "
"whatvn","what was approached in the visible noise condition "
