"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"phase","experimental phases consisting of training and transfer phases- 1 / 2"
"experiment_name","name of data subset – can include different experiments within data set – training_1/ training_2/ transfer_1/ transfer_2 "
"year","year the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee/capuchin"
"summary_raw","whether the data is raw_data  or summary data – raw_data / summary"
"session","set of trials - mostly occurring on the same day - usually numerical "
"sessions_to_criterion","indicates session in the summary data "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"condition","apparatus used in the experiment - transparent / opaque"
"correct_long_tool_choices","the number of trials the participant correctly chose a long tool"
"color","color of the the handle the participant chose - yellow / white / blue"
"length","length of the sticks – short / medium / long"
"tot","total number of of correct tool choices"
"mean","mean number of correct tool choices across trials "
"st_dv","standard deviation "
