"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session_day","the session day"
"condition","three conditions: banana/grape/orange(control)"
"number_banana_locations","number of banana locations which could be approached"
"number_locations_approached_banana","number of approached banana locations"
"number_grape_locations","number of grape locations which could be approached"
"number_locations_approached_grape","number of approached grape locations"
"relative_percentage_approached_banana","relative percentage of approached banana locations calculated by number of approached locations/number of baited locations"
"relative_percentage_approached_grape","relative percentage of approached grape locations calculated by number of approached locations/number of baited locations"
"number_revisited","number of revisited food locations"
"percent_revisited","percentage of revisited food locations"
