"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"condition","two conditions:kiwi/control"
"location_id","id of food location"
"number_food_pieces","number of food pieces"
"distance_meters","distance to starting point in meters"
"number_days_approached_and_depleted","number of days the food location was approached and successfully depleted "
"number_days_approached","number of days the food location was approached"
"relative_percentage_successfully_approached","relative percentage calculated by the number of days where the food location was approached and successfully depleted/the number of experimental days"
"relative_percentage_approached","relative percentage calculated by the number of days where the food location was approached/the number of experimental days"
