"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant  "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – partner  "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"dyad","name of the two participants that compose the dyad "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition each dyad participated – control/ solitary/ experimental/ token preference/ training"
"choice_prosocial1_selfish0","whether the participant made prosocial or selfish choice "
"token_left","color of the token placed on the left"
"token_right","color of the token placed on the right"
"tokens_given","color and number of token given in all conditions except for token preference condition "
"token_chosen_in_training_and_token_preference","token the participant chose in training and token preference conditions "
