"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant"
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – model"
"species","species of individuals participating in the study - chimpanzee"
"dyad","name of the two participants that compose the dyad "
"phase","procedure tests 1 or 2"
"condition_first","first condition presented on a given procedure test (individual or social information)"
"order_condition","order of the conditions presented. 1 means they started with the individual information/ 2 means they started with the social information"
"cup","color of the cup "
"box","color of the box"
"second","second condition presented "
"cup_2","color or the second cup"
"box_2","color of the second box"
"test_first_choice","first choice during the test"
"side","location of the choice"
"immediate_delayed"," information reliance after a 2 min delay (1) and 24 hours delay (2)"
"comments","author provided notes"
"note","any additional information "
