"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan"
"session","set of trials – usually from 1 to 20 -  for some naive participants there is a session 0 done to check to check if they chose something at all and took the food."
"trial","presentation of the experiment to the participants - usually numerical"
"condition","the participants prior experience with a reversed reward contingency task – experienced (those who performed above chance in the last test) / naive (those that did not participate before)"
"left","quantity of food placed on the left side "
"right","quantity of food placed on the right side"
"chosen_side","choice the participant made - right / left "
"correct_choice","whether the participant made correct or incorrect choice "
