"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant"
"age_original","age provided by author in data file"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study - chimpanzee/ orangutan"
"trial","presentation of the experiment to the participants - usually numerical"
"condition","whether participants were able to solve the task when seeing the reward at the bottom- dry (not water in the tube) / wet (quarter filled tube with water) / wet2 ( half filled tube with water)"
"spitting","whether or not participants spat into the tube"
"latency_first_spit/water","medians (mdn) and ranges for spitting latencies and tube-directed actions"
"number_of_spits","how often participants spat water into the tube during the first 2 minutes of each condition"
"success","whether or not the participants were successful"
"latency_success","mean latency to the first spit and until they obtained the reward in the dry control"
