"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment ","number of experiment from publication"
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition in which participant had to discriminate between tools on the basis of their rigidity-manipulation/observation/visual_static"
"tool-set_exp-2a","10 different 3-tool sets participants had to select based on their rigidity – 1/2/3/4/5/6/"
"tool-set_exp-2b","tool sets administered by experimenters in a visual static condition only presenting the tools - set 1/set 2/set 3"
"correct","whether participants choose the right tool depending if the apparatus required to use a rigid or a flexible tool – yes/no"
"try","whether participants selected the tool and then tried to use it – yes/no"
"apes_choice","participants choice depending on whether the apparatus required using a rigid or a flexible tool - rigid/flexible"
