column_name,description
study_id,personal study ID composed by the first authors’ first surname_year of publication_first title word 
experiment,number of experiment from publication 
experiment_name,name of data subset – food_out_of_reach_test
year,year the data point was obtained  
participant,name of the participant 
age_in_years,age presented in years – see metadata for source of age 
sex,sex of the participant 
species,species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan 
session,set of trials - mostly occurring on the same day - usually numerical 
period,test period containing different test sessions and which was repeated within 60 days
experimenter_in_or_out,whether the experimenter left the room (out) or sat at the table doing nothing (in)
reaching_frequency,frequency of participants reaching to the food 
knocking_frequency,frequency of participants knocking walls/window/floor
food,type of food presented to the participant – banana / pfo
