"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – _prefeeding"
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"re_trial","prefeeding observations using instantaneous sampling where the current activity of each individual was recorded every 2 minutes in several repeated trials to quickly overview their behavior- typically managing 2-3 trials per session."
"period","test period containing different test sessions and which was repeated within 60 days "
"rocking","whether the participant showed rocking behavior"
"scratching","whether the participant showed scratching behavior"
"grinning","whether the participant showed grinning"
"vocalizing","whether the participant showed vocalizing "
"pacing","whether the participant showed pacing behavior (moving back and forth along a particular path or area) "
"wrist_shaking","whether the participant showed wrist shaking behavior"
"changing_location","whether the participant changed their location"
"sexual_activity","whether any type of sexual activity occurred "
