"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – food_box_test"
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the ape participants - usually numerical "
"period","test period containing different test sessions and which was repeated within 60 days"
"touched_box","whether the participant touched the box "
"opened_box","whether the participant opened the box"
"item_eaten_or_tasted","whether the participant ate or tasted a food item"
"food_rejected","whether the participant rejected the good item in the box"
"latency_to_touch_box","latency in seconds it took participant to touch the box"
"latency_to_open_box","latency in seconds it took participant to open the box"
"not_touching","final data- includes the latencies measured of those that did touch the box/ the latencies of those that did not touch are set to  max of the test time (60 seconds)"
"not_opening","final data- includes the latencies measured of those that did open the box/ the latencies of those that did not open are set to  max of the test time (60 seconds)"
