"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – novel_food_test"
"year","year the data point was obtained  "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"period","test period containing different test sessions and which was repeated within 60 days"
"duration_occupied","duration the participant was occupied with investigating food"
"item_eaten_or_tasted","whether the food was eaten or tasted – sometimes partially "
"latency_to_reach_or_touch","latency in second it took participant to touch a novel food"
"food_type","food type presented to the participant -  normal / novel"
"novel_food_type","food type of the novel food - natural / artificial"
"food","particular type of food presented to the participant – normal = apple / grape / banana / novel natural = green star/ red star etc. / novel artificial = brown marsh/ yellow marsh etc. "
"rejecting_food","whether the participant rejected food or not"
"latency_60","latencies of food taken measured - those trials where no food was taken were set to max test time of 60 secs"
