study_id,experiment_name,participant,age_in_years,sex,species,condition,choice,first_choice_in_phase3,event,behaviors,vocalizations
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alex,15,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,3,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alex,15,m,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alex,15,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,antisocial,fight,5,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alex,15,m,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,1,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alexandra,17,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,3,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alexandra,17,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alexandra,17,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,prosocial,fight,2,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,alexandra,17,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,annett,17,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,0,,fight,2,1
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,annett,17,f,chimpanzee,phase 2_participants_chose_between_prosocial_plus_1_and_antisocial_plus_4,1,,consolation,0,0
bueno2020effects,prosocial_and_antisocial_choices_and_emotional_reactions,annett,17,f,chimpanzee,phase 3_participants_chose_between_prosocial_plus_2_and_antisocial_plus_2,0,prosocial,fight,2,0
