"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"date_of_arrival", arrival date of the participants at the Orangutan Care Centre and Quarantine Pasir Panjang
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study - orangutan "
"location","test location – pasir_panjang "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","variable referring to the condition the participant experienced – lines / tubes/ nothing "
"alignment","variable referring to on which side of the table the cups were aligned – left / right/ middle "
"correct_cup","variable referring to the cup which contained the rewards"
"correct_cup_position","variable referring to the position of the correct cup"
"choice","variable referring to the apes choice"
"correct","variable referring to whether the participant chose the correct cup (1) or not (0)"
