"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee"
"group_original","how many experiments apes participated- 1= experiment 1/ 2= experiment 1 and 2/ 3= experiment 1 - 2 and 3/ 4= experiment 1 and 3 "
"visible","tool pieces were placed on the table so there was a 6cm gap between the handle and the hook of the broken tool- participant score "
"aligned","tool pieces were positioned and the reward placed in the same way as visible condition but the gap was closed - participant score"
"covered","after the reward was attached the center of the two tools was covered- participant score "
