"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee /orangutan "
"phase","group of session based on the test condition presented -whether the shadow or mirror condition was administered"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","within-participant manipulation (levels: shadow/ base/ control/ mirror)- the shadow and mirror conditions were blocked"
"order","order of mirror and shadow condition coded as shadow_first and mirror_first"
"order2","order of mirror and shadow condition- numerical"
"correct_side","location of the reward (l= left/ r= right)"
"first_response","whether the first choice was correct (directed to the location of the reward- 1= yes/ 0= no)"
"chosen_side","side of the first choice (l=left/ r= right)"
