"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","cue orientation condition- within-subject manipulation (levels=congruent/ incongruent)"
"correct_side","location of the reward (l= left/r= right)"
"correct_side_1","whether they chose the correct side (1=yes/ 0= no)"
"chosen_side","chose side (l= left/ r= right)"
"order_block","order of cue type block scored as mirror_first and image_first"
"order_block2","order of cue type block- numerical"
"session_within_block","session within cue type block of the experiment-numerical"
"block","cue type manipulation (presented in blocks- mirror / image)"
"side_with_food_image","whether they chose the side on which the food was visible as a picture or as a mirror image (1= yes/ 0= no)"
