"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","participants chose between two locations (A/B) with cups containing different (12= experimental version) or the same (11= control version) amounts  of food - Object condition - food presented as a solid in two locations (obj_11/obj_12)/ Slices to solid- food presented in three pieces and rearranged into a perceptually whole piece hidden in one location (slis_11/slis_12)/ Solid to slices condition- food in pieces presented as whole then decomposed into three single slices and rearranged into whole pieces again hidden in one location (sols_11/sols_12)"
"response_side","participant response side - left/right"
"correct","whether the response was correct or incorrect"
