"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"trial_type","a pair of identical containers either clear or opaque filled with either same or different amount of juice - no_testing_trial / clear-same / opaque-same / clear-different / opaque-different "
"lc_or_lt_trial","lc_trial =  the larger quantity was transferred into the cup while the smaller was poured into the tube / lt_trial = the combination of the quantities and the shapes of the containers was reversed. "
"1st_amount_chosen","amount of juice chosen in the 1st choice which was to confirm that the apes were motivated to select the larger quantity  - larger_quantity "
"2nd_amount_chosen","amount of juice chosen in the 2nd choice – no_testing_tria (no values)l / larger_quantity (50ml) / smaller_quantity (20ml)"
"2nd_choice_container","type of container chosen in the 2nd choice – no_testing_trial (no values)  / cup/ tube/"
"2nd_choice_side","side chose in the 2nd choice - left / right"
"2nd_choice_hesitation","whether the participant hesitated or not in the 2nd choice - no_hesitation_or_no_testing_trial / hesitation "
