"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"trial_type","trial type= 4-cup: Two different quantities of juice (14 ml and 28 ml) were transferred from a pair of identical clear cups to a single cup and a set of 4 cups./ 8-cup: Two different quantities of juice (14 ml and 28 ml) were transferred from a pair of identical clear cups to a single cup and a set of 8 cups / no testing trial  "
"ls_or_lm_trial","ls trial: In half of the trials the larger quantity was poured into the single cup and the smaller quantity into the set of multiple cups/ lm trial : In the other half of the trials the larger quantity was poured into the set of multiple cups and the smaller quantity into the single cup "
"1st_amount_chosen","amount chosen in the 1st choice - smaller quantity (14 ml)/ larger quantity (28 ml)"
"2nd_amount_chosen","amount chosen in the 2nd choice - smaller quantity  (14 ml)/ larger quantity (28 ml)/ no value for no testing trials"
"2nd_choice_container","container chosen in the 2nd choice - single cup / multiple cups / no value for no testing trials "
"1st_choice_hesitation","hesitation in the 1st choice- hesitation/ no hesitation "
"2nd_choice_hesitation","hesitation in the 2nd choice- hesitation/ no hesitation"
