"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"participant","name of the participant"
"sex","sex of the participant"
"species","species of individuals participating in the study - chimpanzee"
"session","set of trials - mostly occurring on the same day - usually numerical"
"trial","presentation of the experiment to the participants - usually numerical"
"trial_number_across_sessions","presentation of the experiment to the participants across sessions – usually a numerical continuous count"
"causal_button_pressed","whether the causal button was pressed (1) or not (0)"
"causal_button_pressed_codes","whether the causal button was pressed (yes) or not (no)"
"causal_side-l_or_r","side of the causal button (left = l or right = r)"
"button_pressed-l_or_r","side of the pressed button (left = l or right = r)"
