"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan"
"number_trials","number of repeated trials until they succeed"
"lop","level of planning required to succeed from 0 to 2 depending whether the participants had to consider the traps on the uppermost level only on the ahead or on second level or the third level underneath"
"num_levels","number of levels that contain a trap (1-3)"
"order","trial order with the missing spots of those trials that were not included in the final dataset (1-24)"
"configuration_id ", identification number of the trap configuration
"repetition","whether the same maze configuration was presented for the first or second time (1-2)"
"t1_planning","whether the first decision in the first attempt was correct (0= incorrect/ 1= correct)"
"t1_success","whether the first attempt to retrieve the food was successful (0= no/ 1= yes)"
"change_direction","number of changes in direction necessary for the removal of the reward or not"
"sum_nonplan_error_lev1","sum of non-planning errors on the first level across all attempts within a trial (only LOP 0)"
"sum_planning_errors","sum of planning errors across all attempts within a trial (only for LOP 1 and 2)"
"sum_non_planning_errors","sum of non-planning errors across all attempts within a trial"
