"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"publication_status","whether the data point was published or unpublished"
"participant","name of the participant "
"age_in_years","age presented in years - see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"phase","training / test"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"order_condition","refers to which condition was presented first"
"demonstration","within-participant experimental manipulation referring to the type of demonstration presented to the participant  - intervention "
"order_a","order of the objects in 2nd_order_indirect screening-off and 2nd_order_backward_blocking conditions - afirst/bfirst"
"first_response", whether the first choice of the participant was correct - yes (1) / no (0)
"blicket_object","ID number of the functional object"
"first_response_side","refers to first choice of the participant - left / right "
"first_response_correct","whether the first choice of the participant was correct - yes (1) / no (0)"
"second_response", whether the second attempt was correct - yes (1) / no (0)
"second_response_side","refers to the second choice of the participant - left / right "
"ac_side", where AC block was located - left/right
"second_response_correct","whether the second choice of the participant was correct - yes (1) / no (0)"
