"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"phase","test phase = participants were presented two conditions "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition"," within-participant experimental manipulation - backward blocking / retrospective discounting"
"order_condition","whether the backward blocking or retrospective discounting condition was presented first"
"demonstration","within-participant experimental manipulation referring to the type of demonstration presented to the participant during evidence phase - intervention / observation"
"order_demo","which demonstration condition was presented first "
"blicket_side","side on which the functional object was presented - left / right "
"blicket_object","ID number of the functional object"
"first_response_100percent_object","whether participant chose the object that was associated with the effect every time it was placed on top of the detector  - yes (1) / no (0)"
"first_response_side","refers to first choice of the participant - left / right "
