"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","study conditions: baseline refers to condition shake_shake in the publication. Its the same condition as auditory both in experiment 2. In the experimental_shaken_vs_rotated condition the experimenter shakes one cup and turns the other one upside down and upside up again. Correct in this condition indicates the shaken cup was selected although both cups are empty. The control condition is the same as in experiments 1 and 2"
"food_on_left","signals whether the food reward is underneath the left cup"
"food_on_left_codes",
"food_on_right","signals whether the food reward is underneath the right cup"
"food_on_right_codes",
"choice","signals which cup the participant chose. 1 means left and 2 means right "
"success","signals whether the participant found the food and succeeded (1) or did not find the food and failed (0)"
