"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","study conditions: visual and auditory both refer to visual and auditory conditions of experiment 1. In visual and auditory baited the experimenter only manipulates the cup contianing the reward, so the apes can see or hear the movement of the reward. In visual and auditory empty the experimenter only manipulates the empty cup. In control condition the experimeter does not manipulate any cup so the apes do not know where the food is."
"food_on_left","signals whether the food reward is underneath the left cup"
"food_on_right","signals whether the food reward is underneath the right cup"
"choice","signals which cup the participant chose. 1 means left and 2 means right "
"choice_codes","signals the meaning of the choice code"
"success","signals whether the participant found the food and succeeded (1) or did not find the food and failed (0)"
