"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"experiment_name","name of data subset – can include different experiments within data set/ different training conditions/ pre-test data/ etc "
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"condition", actions the experimenter performed - hand_closing/nose_wiping/scratching/wrist_shaking/yawning
"yawn_baseline","number of yawning events in the baseline condition"
"yawn_experimental","number of yawning events in the experimental condition "
"nosewipe_baseline","number of nose-wiping events in the baseline condition"
"nosewipe_experimental","number of nose-wiping events in the experimental condition "
"scratch_baseline","seconds spent scratching in the baseline condition"
"scratch_experimental","seconds spent scratching in the experimental condition"
"wristshake_baseline","number of wrist-shaking events in the baseline condition"
"wristshake_experimental","number of wrist-shaking events in the experimental condition "
"handclose_baseline","number of hand-closing events in the baseline condition "
"handclose_experimental","number of hand-closing events in the experimental condition "
