"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"experiment","number of experiment from publication"
"id","maze configuration id (1-24)"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan"
"condition","condition presented to participants - clear / opaque cued / tool "
"number_trials","number of repeated trials until they succeed"
"order","trial order without the missing spots of those trials that were not included in the final dataset"
"lop","level of planning required to make informed decision at the beginning of the maze (0-2)"
"num_levels","number of levels that contain a trap (1-2)"
"changes_direction","whether a change in direction is necessary for the removal of the reward or not (0=no/ 1= yes)"
"repetition","how often this maze configuration was mal already presented to the subject (1-2)"
"t1_planning","whether the first decision in the first attempt was correct (0= incorrect/ 1= correct)"
"t1_success","whether the first attempt to retrieve the food was successful (0= no/ 1= yes)"
"test_value","chance value for the number of trials"
"diff_num_trials","number_trials - test_value"
