"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication"
"year","year the data point was obtained  "
"month","month the data point was obtained "
"day","day of the month the data point was obtained "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"role","role of the participant – focal_participant  "
"participant_2","name of the participant_2 "
"age_in_years_2","age presented in years of the participant_2 – see metadata for source of age"
"sex_2","sex of the participant_2 "
"role_2","role of the participant_2 – stooge  "
"species","species of individuals participating in the study -bonobo/chimpanzee"
"dyad","name of the two participants that compose the dyad "
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"phase","1 = experiment 1a -  2 = experiment 1b"
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","comp = competition - coop = cooperation"
"barrier_position","12 = barrier blocks options 1 and 2 -  34 = barrier blocks options 3 and 4"
"choice_focal_participant_number","which options focal_participants have chosen (1: option 1/ 2: option 2/ 3: option 3/ 4: option 4)"
"choice_focal_participant_barrier","indicates whether focal_participants chose a visible or a hidden option (1 = visible/ 0 = hidden)"
"success","whether or not focal participants made a correct choice (1 = correct = visible in cooperation condition/ hidden in competition condition)"
"barrier_position_dummy","indicates where the barrier was placed -  1 = barrier covers options 1 and 2 -  2 = barrier covers options 3 and 4"
